_id,School_Number,School_Name,Street,Suburb,Post_Code,Type_of_Schooling,Year_Levels,Sector,Latitude,Longitude
23,3603,Aldinga Community Kindergarten,63 Butterworth Road,Aldinga Beach,5173,Preschools,,Public,-35.27388,138.4529
24,1647,Allenby Gardens Child Parent Centre,Barham Street,Allenby Gardens,5009,Preschools,,Private,-34.902081,138.554563
25,473,Allenby Gardens Primary School,Barham Street,Allenby Gardens,5009,Primary Education,Reception to Year 7,Public,-34.902081,138.554563
26,751,Allendale East Area School,Bay Road,Allendale East,5291,Primary/Secondary Combined,Reception to Year 12,Private,-38.002525,140.711276
27,1001,Amata Anangu School,NULL,Amata,872,Aboriginal/Anangu Schools,Reception to Year 12,Private,-26.151709,131.147712
28,1556,Amata Preschool,NULL,Amata,872,Preschools,,Public,-26.151709,131.147712
29,1557,Andamooka Preschool,Government Road,Andamooka,5722,Preschools,,Public,-30.4489,137.16761
30,509,Andamooka Primary School,NULL,Andamooka,5722,Primary Education,Reception to Year 6,Private,-30.448801,137.167593
31,2635,Andrews Farm Community Preschool,Lot 31 President Avenue,Andrews Farm,5114,Preschools,,Private,-34.672113,138.666505
32,2601,Angaston Kindergarten,16 Newcastle Street,Angaston,5353,Preschools,,Public,-34.498704,139.05008
33,242,Angaston Primary School,5 Moculta Road,Angaston,5353,Primary Education,Reception to Year 7,Private,-34.499092,139.050833
34,2627,Angle Vale Preschool,45 Fradd Road,Angle Vale,5117,Preschools,,Public,-34.643884,138.648599
35,255,Angle Vale Primary School,Heaslip Road,Angle Vale,5117,Primary Education,Reception to Year 7,Private,-34.643346,138.647362
36,6603,Ardrossan & Districts Comm Kgtn,26 West Terrace,Ardrossan,5571,Preschools,,Public,-34.425444,137.913624
37,732,Ardrossan Area School,14 Second Street,Ardrossan,5571,Primary/Secondary Combined,Reception to Year 12,Private,-34.423756,137.91592
38,4668,Ardtornish Children's Centre,2 Saarinen Avenue,St Agnes,5097,Integrated Centres,,Public,-34.833938,138.706098
39,1540,Ardtornish Primary School,2 Saarinen Avenue,St Agnes,5097,Primary Education,Reception to Year 7,Private,-34.833595,138.704599
40,3606,Ascot Park Kindergarten,630 Marion Road,Park Holme,5043,Preschools,,Public,-34.986281,138.556092
41,340,Ascot Park Primary School,1-37 Pildappa Avenue,Park Holme,5043,Primary Education,Reception to Year 7,Public,-34.990774,138.554376
42,4603,Athelstone Preschool,338 Gorge Road,Athelstone,5076,Preschools,,Private,-34.869904,138.703591
43,419,Athelstone School,8A Brookside Road,Athelstone,5076,Primary Education,Reception to Year 7,Public,-34.867392,138.699416
44,425,Auburn Primary School,St Vincent Street,Auburn,5451,Primary Education,Reception to Year 7,Private,-34.027583,138.680973
45,6605,Augusta Park Childhood Servs Ctr,2 Bailey Street,Port Augusta,5700,Preschools,,Public,-32.493659,137.782859
46,990,Augusta Park Primary School,59 Power Crescent,Port Augusta,5700,Primary Education,Reception to Year 7,Private,-32.495595,137.784949
47,7080,Auslan Early Learning Program,2 Hay Street,Klemzig,5087,Preschools,,Private,-34.877176,138.637665
48,1800,Australian Science & Mathematics Sch,Sturt Road,Bedford Park,5042,Secondary Education,Years 10-12,Public,-35.018843,138.574657
49,906,Avenues College,McKay Avenue,Windsor Gardens,5087,Primary/Secondary Combined,Reception to Year 12,Public,-34.860757,138.657925
50,1582,Avenues College Children's Centre,McKay Avenue,Windsor Gardens,5086,Integrated Centres,,Public,-34.860757,138.657925
51,5665,Baden Pattinson Kindergarten,Cnr Alison St & Kibby Ave,Glenelg North,5045,Preschools,,Private,-34.968513,138.522344
52,3610,Bains Road Preschool,10 Gum Court,Morphett Vale,5162,Preschools,,Private,-35.114397,138.542368
53,6652,Balaklava Community Chn Ctr,15 Scotland Street,Balaklava,5461,Integrated Centres,,Public,-34.147685,138.413582
54,769,Balaklava High School,14 Gwy Terrace,Balaklava,5461,Secondary Education,Years 8-12,Public,-34.1503,138.41511
55,477,Balaklava Primary School,Wallace Street,Balaklava,5461,Primary Education,Reception to Year 7,Private,-34.151438,138.416488
56,6502,Balharry Memorial Kindergarten,Centenary Avenue,Lucindale,5272,Preschools,,Public,-36.971006,140.36895
57,3608,Ballara Park Kindergarten,9 Ormonde Avenue,Warradale,5046,Preschools,,Public,-35.0063,138.53499
58,1117,Banksia Park International HS,610 Milne Road,Banksia Park,5091,Secondary Education,Years 8-12,Private,-34.814401,138.726168
59,4604,Banksia Park Kindergarten,Spring Crescent,Banksia Park,5091,Preschools,,Public,-34.809319,138.727278
60,1015,Banksia Park School R-7,1-5 Cottenham Road,Banksia Park,5091,Primary Education,Reception to Year 7,Public,-34.808854,138.72609
61,5604,Barbara Kiker Memorial Kindergarten,14 Sydney Avenue,Kidman Park,5025,Preschools,,Private,-34.908924,138.522255
62,5605,Barker Kindergarten,197 Tynte Street,North Adelaide,5006,Preschools,,Private,-34.906876,138.593127
63,6503,Barmera Kindergarten,Amy Street,Barmera,5345,Preschools,,Public,-34.251996,140.469403
64,506,Barmera Primary School,1 Rumbold Drive,Barmera,5345,Primary Education,Reception to Year 7,Private,-34.25159,140.478058
65,511,Basket Range Primary School,16 Cramond Road,Basket Range,5138,Primary Education,Reception to Year 7,Public,-34.938619,138.765498
66,1559,Beachport Preschool,Golf Course Road,Beachport,5280,Preschools,,Public,-37.475436,140.009715
67,519,Beachport Primary School,Golf Course Road,Beachport,5280,Primary Education,Reception to Year 7,Public,-37.475436,140.009715
68,4665,Belair Jean Bonython Kindergarten,11 Arizona Terrace,Glenalta,5052,Preschools,,Private,-35.00833,138.626868
69,524,Belair Primary School,45-83 Main Road,Belair,5052,Primary Education,Reception to Year 7,Private,-35.00488,138.625814
70,1136,Bellevue Heights Primary School,7-19 Vaucluse Crescent,Bellevue Heights,5050,Primary Education,Reception to Year 7,Private,-35.028955,138.588869
71,6505,Berri Community Preschool,1A Fiedler Street,Berri,5343,Preschools,,Public,-34.281067,140.600482
72,532,Berri Primary School,11 Sultana Street,Berri,5343,Primary Education,Reception to Year 7,Public,-34.279661,140.594112
73,4607,Bertram Hawker Kindergarten,7 Wooltana Avenue,Myrtle Bank,5064,Preschools,,Public,-34.957621,138.635231
74,770,Birdwood High School,Shannon Street,Birdwood,5234,Secondary Education,Years 8-12,Public,-34.819718,138.95963
75,547,Birdwood Primary School,Shannon Street,Birdwood,5234,Primary Education,Reception to Year 7,Private,-34.819718,138.95963
76,6607,Bishop Kindergarten,5 Willison Street,Port Lincoln,5606,Preschools,,Private,-34.716839,135.845905
77,548,Black Forest Primary School,679 South Road,Black Forest,5035,Primary Education,Reception to Year 7,Private,-34.960682,138.573308
78,905,Blackwood High School,4 Seymour Street,Eden Hills,5050,Secondary Education,Years 8-12,Private,-35.025087,138.607259
79,4608,Blackwood Kindergarten,11 Brigalow Avenue,Blackwood,5051,Preschools,,Public,-35.024634,138.617131
80,565,Blackwood Primary School,4 Seymour Street,Eden Hills,5050,Primary Education,Reception to Year 7,Public,-35.025087,138.607259
81,1903,Blair Athol North School B-7,Marmion Avenue,Blair Athol,5084,Primary Education,Reception to Year 7,Private,-34.852716,138.598872
82,1206,Blair Athol North School B-7 Chn Ctr,Marmion Avenue,Blair Athol,5084,Integrated Centres,,Public,-34.852716,138.598872
83,2697,Blakeview Preschool,Jamieson Road,Blakeview,5114,Preschools,,Public,-34.68923,138.700041
84,1854,Blakeview Primary School,Omega Drive,Blakeview,5114,Primary Education,Reception to Year 7,Private,-34.687809,138.699956
85,571,Blanchetown Primary School,Godley Street,Blanchetown,5357,Primary Education,Reception to Year 7,Private,-34.350655,139.61118
86,586,Blyth Primary School,August Street,Blyth,5462,Primary Education,Reception to Year 7,Private,-33.844527,138.491087
87,600,Booborowie Primary School,South Terrace,Booborowie,5417,Primary Education,Reception to Year 7,Private,-33.566079,138.759558
88,6608,Booleroo Centre & District Kgtn,26 Campbell Street,Booleroo Centre,5482,Preschools,,Public,-32.878266,138.348042
89,771,Booleroo Centre District School,2-10 Stephen Street,Booleroo Centre,5482,Primary/Secondary Combined,Reception to Year 12,Public,-32.877326,138.349525
90,894,Bordertown High School,South Terrace,Bordertown,5268,Secondary Education,Years 8-12,Public,-36.312935,140.767516
91,733,Bordertown Primary School,South Terrace,Bordertown,5268,Primary Education,Reception to Year 7,Public,-36.312935,140.767516
92,1418,Bowden Brompton Community School,85A Torrens Road,Brompton,5007,Primary/Secondary Combined,Years 6-12,Private,-34.895043,138.580071
93,1163,Braeview School R-7,1A Montana Drive,Happy Valley,5159,Primary Education,Reception to Year 7,Private,-35.080686,138.554101
94,2604,Brahma Lodge Kindergarten Inc,64 The Strand,Brahma Lodge,5109,Preschools,,Public,-34.777876,138.65488
95,983,Brahma Lodge Primary School,20 Mortess Street,Brahma Lodge,5109,Primary Education,Reception to Year 7,Private,-34.775528,138.650326
96,3612,Brentwood Drive Kindergarten,79 Brentwood Drive,Huntfield Heights,5163,Preschools,,Public,-35.15095,138.50716
97,4606,Bridgewater Kindergarten Inc,87 Onkaparinga Road,Bridgewater,5155,Preschools,,Public,-35.008727,138.775293
98,636,Bridgewater Primary School,46 Morella Grove,Bridgewater,5155,Primary Education,Reception to Year 7,Public,-35.004337,138.762645
99,637,Brighton Primary School,1 Highet Avenue,Brighton,5048,Primary Education,Reception to Year 7,Private,-35.015974,138.526228
100,803,Brighton Secondary School,305 Brighton Road,North Brighton,5048,Secondary Education,Years 8-12,Private,-35.003619,138.519676
101,6658,Brinkworth Preschool Centre,Belling Street,Brinkworth,5464,Preschools,,Private,-33.688993,138.40466
102,752,Brinkworth Primary School,Main Street,Brinkworth,5464,Primary Education,Reception to Year 7,Private,-33.687102,138.404569
103,646,Brompton Primary School,Napier Street,Renown Park,5008,Primary Education,Reception to Year 7,Public,-34.894564,138.581612
104,699,Burnside Primary School,11 High Street,Burnside,5066,Primary Education,Reception to Year 7,Public,-34.935601,138.661574
105,1432,Burra Community School,7 Bridge Terrace,Burra,5417,Primary/Secondary Combined,Reception to Year 12,Private,-33.677412,138.938652
106,6661,Burra Early Learning Centre,8 Bridge Terrace,Burra,5417,Preschools,,Private,-33.678693,138.93797
107,2694,Burton Park Preschool,30 Brookfield Avenue,Burton,5110,Preschools,,Public,-34.741477,138.597764
108,1844,Burton Primary School,49A Kensington Way,Burton,5110,Primary Education,Reception to Year 7,Public,-34.741477,138.597764
109,6604,Bute and District Kindergarten,4 Third Street,Bute,5560,Preschools,,Public,-33.86441,138.00413
110,702,Bute Early Learning & Primary School,Third Street,Bute,5560,Primary Education,Reception to Year 7,Private,-33.864926,138.003827
111,5363,CaFE Enfield Children's Centre,17A Wilkins Street,Enfield,5085,Integrated Centres,,Private,-34.8656,138.60454
112,6560,Callington Kindergarten,North Terrace,Callington,5254,Preschools,,Private,-35.11362,139.039395
113,705,Callington Primary School,North Terrace,Callington,5254,Primary Education,Reception to Year 7,Private,-35.11362,139.039395
114,1564,Cambrai Preschool,Main Road,Cambrai,5353,Preschools,,Public,-34.652888,139.280966
115,747,Cambrai Primary School,Main Road,Cambrai,5353,Primary Education,Reception to Year 7,Public,-34.652888,139.280966
116,1563,Campbelltown Preschool,163A Montacute Road,Newton,5074,Preschools,,Private,-34.887507,138.677173
117,5454,Carlton Preschool,Rupert Street,Port Augusta,5700,Preschools,,Public,-32.487975,137.776238
118,981,Carlton School,Rupert Street,Port Augusta,5700,Aboriginal/Anangu Schools,Reception to Year 9,Public,-32.487975,137.776238
119,6507,Carol Murray Children's Centre,1 Dinning Terrace,Bordertown,5268,Integrated Centres,,Private,-36.310956,140.765592
120,734,Ceduna Area School,6 May Crescent,Ceduna,5690,Primary/Secondary Combined,Reception to Year 12,Public,-32.137676,133.671396
121,6612,Central Yorke Early Learning Centre,Junction Road,Maitland,5573,Preschools,,Public,-34.368261,137.673481
122,761,Central Yorke School,Junction Road,Maitland,5573,Primary/Secondary Combined,Reception to Year 12,Private,-34.368261,137.673481
123,1716,Challa Gardens Child Parent Centre,Humphries Terrace,Kilkenny,5009,Preschools,,Public,-34.877562,138.555082
124,714,Challa Gardens Primary School,Humphries Terrace,Kilkenny,5009,Primary Education,Reception to Year 7,Private,-34.877562,138.555082
125,3615,Chandlers Hill Kindergarten,2 Education Road,Happy Valley,5159,Preschools,,Private,-35.08675,138.58491
126,1028,Charles Campbell College,3 Campbell Road,Paradise,5075,Primary/Secondary Combined,Reception to Year 12,Private,-34.87403,138.674133
127,3616,Christie Downs Kindergarten,14 Charles Street,Christie Downs,5164,Preschools,,Private,-35.131159,138.491504
128,1019,Christie Downs Primary School,Elizabeth Road,Christie Downs,5164,Primary Education,Reception to Year 7,Private,-35.13242,138.494017
129,1013,Christies Beach HS & Sth Voc College,Morton Road,Christie Downs,5164,Secondary Education,Years 8-12,Private,-35.136982,138.497694
130,921,Christies Beach Primary School,46 Maturin Avenue,Christies Beach,5165,Primary Education,Reception to Year 7,Private,-35.138009,138.479076
131,3617,Christies North Kindergarten,27 Shepherd Road,Christies Beach,5165,Preschools,,Public,-35.131683,138.482217
132,952,Clapham Primary School,Barretts Road,Clapham,5062,Primary Education,Reception to Year 7,Private,-34.993358,138.603502
133,773,Clare High School,Elliot Street,Clare,5453,Primary/Secondary Combined,Years 7-12,Private,-33.822384,138.596522
134,719,Clare Primary School,137 Main North Road,Clare,5453,Primary Education,Reception to Year 6,Private,-33.840746,138.618052
135,6665,Clare Valley Children's Centre,Cnr of Blyth Road and Elliot Street,Clare,5453,Integrated Centres,,Private,-33.822948,138.594911
136,4611,Clarence Gardens Kindergarten,45 Dinwoodie Avenue,Clarence Gardens,5039,Preschools,,Private,-34.96986,138.580532
137,4617,Clarence Park Community Kindergarten,5 Parker Terrace,Clarence Park,5034,Preschools,,Public,-34.961949,138.580357
138,3620,Clarendon Kindergarten,82 Grants Gully Road,Clarendon,5157,Preschools,,Private,-35.11014,138.63095
139,720,Clarendon Primary School,Potter Road,Clarendon,5157,Primary Education,Reception to Year 7,Public,-35.110275,138.632175
140,753,Cleve Area School,Second Street,Cleve,5640,Primary/Secondary Combined,Reception to Year 12,Public,-33.699647,136.497429
141,6664,Cleve District Children's Centre,East Terrace,Cleve,5640,Preschools,,Private,-33.700555,136.49718
142,932,Clovelly Park Primary School,1 Renown Place,Clovelly Park,5042,Primary Education,Reception to Year 7,Public,-34.998429,138.565416
143,721,Cobdogla Primary School,Dolan Street,Cobdogla,5346,Primary Education,Reception to Year 7,Private,-34.242439,140.406113
144,723,Colonel Light Gardens Primary School,Windsor Avenue,Colonel Light Gardens,5041,Primary Education,Reception to Year 7,Private,-34.986809,138.59544
145,724,Compton Primary School,13 Compton Hall Road,Suttontown,5291,Primary Education,Reception to Year 7,Private,-37.801357,140.728606
146,920,Coober Pedy Area School,Paxton Road,Coober Pedy,5723,Primary/Secondary Combined,Reception to Year 12,Public,-29.012416,134.752049
147,1566,Coober Pedy Child Parent Centre,Paxton Road,Coober Pedy,5723,Preschools,,Private,-29.012416,134.752049
148,6508,Coomandook & Districts Kgtn,3275 Dukes Highway,Coomandook,5261,Preschools,,Private,-35.47536,139.70583
149,729,Coomandook Area School,3275 Dukes Highway,Coomandook,5261,Primary/Secondary Combined,Reception to Year 12,Private,-35.47536,139.70583
150,730,Coonalpyn Primary School,4 Coombe Terrace,Coonalpyn,5265,Primary Education,Reception to Year 7,Private,-35.698735,139.852091
151,3621,Coorara Preschool Centre,22 Matison Road,Morphett Vale,5162,Preschools,,Public,-35.131005,138.541037
152,323,Coorara Primary School,Taylors Avenue,Morphett Vale,5162,Primary Education,Reception to Year 7,Public,-35.131326,138.542009
153,3622,Coromandel Valley Kindergarten,9 Sean Court,Coromandel Valley,5051,Preschools,,Private,-35.049064,138.622124
154,104,Coromandel Valley Primary School,339 Main Road,Coromandel Valley,5051,Primary Education,Reception to Year 7,Public,-35.033562,138.626758
155,1567,Cowandilla Children's Centre,34 Wilson Street,Cowandilla,5033,Integrated Centres,,Private,-34.934078,138.557521
156,106,Cowandilla Primary School,21 Jenkins Street,Cowandilla,5033,Primary Education,Reception to Year 7,Private,-34.93416,138.559877
157,735,Cowell Area School,42 Story Street,Cowell,5602,Primary/Secondary Combined,Reception to Year 12,Public,-33.683646,136.918203
158,6663,Cowell Early Childhood Centre,42 Story Street,Cowell,5602,Preschools,,Private,-33.683646,136.918203
159,107,Crafers Primary School,55 Piccadilly Road,Crafers,5152,Primary Education,Reception to Year 7,Private,-34.993387,138.71348
160,1226,Craigburn Primary School,15 Murrays Hill Road,Flagstaff Hill,5159,Primary Education,Reception to Year 7,Public,-35.056187,138.615495
161,976,Craigmore High School,2 Jamieson Road,Blakeview,5114,Secondary Education,Years 8-12,Private,-34.69116,138.701176
162,2608,Craigmore Kindergarten,2 Carinya Street,Craigmore,5114,Preschools,,Private,-34.706201,138.704829
163,1449,Craigmore South Primary School,Turner Drive,Craigmore,5114,Primary Education,Reception to Year 7,Public,-34.70978,138.706148
164,6613,Crystal Brook Kindergarten,Mais Terrace,Crystal Brook,5523,Preschools,,Private,-33.352343,138.213546
165,111,Crystal Brook Primary School,7 Mitchell Street,Crystal Brook,5523,Primary Education,Reception to Year 7,Private,-33.352948,138.213543
166,4639,Cumberland Preschool Kgtn Inc,4 Tweed Street,Cumberland Park,5041,Preschools,,Public,-34.976961,138.584979
167,754,Cummins Area School,McFarlane Street,Cummins,5631,Primary/Secondary Combined,Reception to Year 12,Private,-34.263356,135.72233
168,1569,Cummins Child Parent Centre,McFarlane Street,Cummins,5631,Preschools,,Public,-34.263356,135.72233
169,114,Curramulka Primary School,Sixth Street,Curramulka,5580,Primary Education,Reception to Year 7,Private,-34.696257,137.713037
170,3624,Darlington Children's Centre,12A Kurrajong Place,Seacombe Gardens,5047,Integrated Centres,,Public,-35.026403,138.547363
171,666,Darlington Primary School,9-11 White Crescent,Seacombe Gardens,5047,Primary Education,Reception to Year 7,Public,-35.027204,138.546916
172,4613,Dernancourt Kindergarten,10 Vernons Drive,Highbury,5089,Preschools,,Public,-34.857114,138.692637
173,982,Dernancourt School R-7,29 Parsons Road,Dernancourt,5075,Primary Education,Reception to Year 7,Public,-34.861164,138.673148
174,2610,Dorothy Hughes Kindergarten,Rolleston Ave,Salisbury North,5108,Preschools,,Private,-34.75393,138.63546
175,5667,Dover Kindergarten,45 Broadway,South Brighton,5048,Preschools,,Public,-35.025119,138.529534
176,5668,Dunbar Terrace Kindergarten,38B Dunbar Terrace,Glenelg East,5045,Preschools,,Private,-34.978819,138.529149
177,1036,East Adelaide School,57-59 Second Avenue,St Peters,5069,Primary Education,Reception to Year 7,Public,-34.90564,138.627346
178,1043,East Marden Primary School,43 James Street,Campbelltown,5074,Primary Education,Reception to Year 7,Public,-34.881964,138.65353
179,1134,East Para Primary School,12 Caroona Avenue,Para Hills,5096,Primary Education,Reception to Year 7,Private,-34.81765,138.666078
180,971,East Torrens Primary School,12 Robson Road,Hectorville,5073,Primary Education,Reception to Year 7,Private,-34.889946,138.666334
181,1884,Eastern Fleurieu R-12 School,11 Callington Road,Strathalbyn,5255,Primary/Secondary Combined,Reception to Year 12,Private,-35.258107,138.902172
182,1570,Echunga Child Parent Centre,802 Echunga Road,Echunga,5153,Preschools,,Public,-35.097706,138.79085
183,123,Echunga Primary School,802 Echunga Road,Echunga,5153,Primary Education,Reception to Year 7,Private,-35.097706,138.79085
184,4640,Eden Hills Kindergarten,4 Willunga St,Eden Hills,5050,Preschools,,Public,-35.02603,138.601307
185,124,Eden Hills Primary School,78 Wilpena Street,Eden Hills,5050,Primary Education,Reception to Year 7,Private,-35.020546,138.595317
186,1030,Edward John Eyre High School,Grundel Street,Whyalla Norrie,5608,Secondary Education,Years 11-12,Public,-33.026208,137.540961
187,127,Edwardstown Primary School,Maria Street,Melrose Park,5039,Primary Education,Reception to Year 7,Public,-34.978729,138.57801
188,1571,Elizabeth Downs Preschool,Heard Street,Elizabeth Downs,5113,Preschools,,Private,-34.698783,138.69474
189,947,Elizabeth Downs Primary School,Heard Street,Elizabeth Downs,5113,Primary Education,Reception to Year 7,Public,-34.698783,138.69474
190,2612,Elizabeth East Kindergarten,90 Hornet Crescent,Elizabeth East,5112,Preschools,,Private,-34.724763,138.679451
191,943,Elizabeth East Primary School,15 Dolphin Street,Elizabeth East,5112,Primary Education,Reception to Year 7,Private,-34.725069,138.677471
192,2614,Elizabeth Grove Children's Centre,20 Haynes Street,Elizabeth Grove,5112,Integrated Centres,,Private,-34.73263,138.67034
193,897,Elizabeth Grove Primary School,20 Haynes Street,Elizabeth Grove,5112,Primary Education,Reception to Year 7,Private,-34.73263,138.67034
194,1732,Elizabeth North Preschool,141 Woodford Road,Elizabeth North,5113,Preschools,,Public,-34.703341,138.674156
195,825,Elizabeth North Primary School,141 Woodford Road,Elizabeth North,5113,Primary Education,Reception to Year 7,Private,-34.703341,138.674156
196,5613,Elizabeth O'Grady Kindergarten,10 Charles Sturt Avenue,Grange,5022,Preschools,,Public,-34.906534,138.493056
197,1572,Elizabeth Park Child Parent Centre,15 Turner Road,Elizabeth Park,5113,Preschools,,Private,-34.712946,138.684899
198,948,Elizabeth Park Primary School,15 Turner Road,Elizabeth Park,5113,Primary Education,Reception to Year 7,Private,-34.712946,138.684899
199,688,Elizabeth South Primary School,Chivell Street,Elizabeth South,5112,Primary Education,Reception to Year 7,Public,-34.730502,138.661118
200,1573,Elizabeth Vale Preschool,Rollison Road,Elizabeth Vale,5112,Preschools,,Private,-34.746118,138.669137
201,949,Elizabeth Vale Primary School,Rollison Road,Elizabeth Vale,5112,Primary Education,Reception to Year 7,Private,-34.746118,138.669137
202,128,Elliston Area School,Flinders Highway,Elliston,5670,Primary/Secondary Combined,Reception to Year 12,Public,-33.644153,134.892451
203,6616,Elliston RSL Memorial CC,30 Memorial Drive,Elliston,5670,Preschools,,Public,-33.64786,134.88922
204,2622,Elsie Ey Children's Centre,Kingfisher Drive,Hewett,5118,Integrated Centres,,Public,-34.57502,138.75071
205,5659,Enfield Folland Park Kindergarten,31 Turnbull Road,Enfield,5085,Preschools,,Private,-34.858816,138.605386
206,660,Enfield Primary School,Clarice Avenue,Enfield,5085,Primary Education,Reception to Year 7,Public,-34.865172,138.603431
207,1798,Ernabella Anangu Child Parent Centre,NULL,Ernabella,872,Preschools,,Public,-26.283843,132.13524
208,1034,Ernabella Anangu School,NULL,Ernabella,872,Aboriginal/Anangu Schools,Reception to Year 12,Public,-26.283843,132.13524
209,1415,Errington Special Education Centre,21B Errington Street,Plympton,5038,Special Education,Reception to Year 12,Private,-34.962459,138.548514
210,755,Eudunda Area School,2 Reserve Road,Eudunda,5374,Primary/Secondary Combined,Reception to Year 12,Public,-34.181019,139.091242
211,2653,Eudunda Community Preschool,Morgan Road,Eudunda,5374,Preschools,,Public,-34.178712,139.08807
212,142,Evanston Gardens Primary School,71 Angle Vale Road,Evanston Gardens,5116,Primary Education,Reception to Year 7,Public,-34.624606,138.718986
213,1576,Fairview Park Child Parent Centre,Nepondi Court,Fairview Park,5126,Preschools,,Private,-34.797794,138.731846
214,4616,Fairview Park Kindergarten,7 Cotton Street,Fairview Park,5126,Preschools,,Private,-34.802653,138.71862
215,1103,Fairview Park Primary School,Nepondi Court,Fairview Park,5126,Primary Education,Reception to Year 7,Private,-34.797794,138.731846
216,1228,Felixstow Community School,5-11 Briar Road,Felixstow,5070,Primary Education,Reception to Year 7,Private,-34.892516,138.644709
217,805,Findon High School,Drummond Avenue,Findon,5023,Secondary Education,Years 8-12,Private,-34.898332,138.526613
218,968,Fisk Street Primary School,Pattinson Close,Whyalla Norrie,5608,Primary Education,Reception to Year 7,Public,-33.016958,137.533218
219,3629,Flagstaff Hill Kindergarten,15 Renwick Street,Flagstaff Hill,5159,Preschools,,Public,-35.047091,138.581218
220,1018,Flagstaff Hill Primary School,145 Black Road,Flagstaff Hill,5159,Primary Education,Reception to Year 7,Private,-35.04944,138.589485
221,3630,Flagstaff Oval Kindergarten,York Drive,Flagstaff Hill,5159,Preschools,,Private,-35.052648,138.596644
222,1578,Flaxmill Preschool,80 Flaxmill Road,Morphett Vale,5162,Preschools,,Private,-35.127831,138.519309
223,1142,Flaxmill School P-7,80 Flaxmill Road,Morphett Vale,5162,Primary Education,Reception to Year 7,Private,-35.127831,138.519309
224,6617,Flinders Children's Centre,122 Tassie Street,Port Augusta,5700,Preschools,,Public,-32.482907,137.775112
225,135,Flinders Park Primary School,70 Holbrooks Road,Flinders Park,5025,Primary Education,Reception to Year 7,Private,-34.911103,138.54754
226,1783,Flinders View Child Parent Centre,Chinnery Street,Port Augusta West,5700,Preschools,,Private,-32.472843,137.753921
227,1396,Flinders View Primary School,Chinnery Street,Port Augusta West,5700,Primary Education,Reception to Year 7,Private,-32.472843,137.753921
228,3641,Forbes Children's Centre,80 Thomas Street,South Plympton,5038,Integrated Centres,,Public,-34.978139,138.557598
229,658,Forbes Primary School,80 Thomas Street,South Plympton,5038,Primary Education,Reception to Year 7,Private,-34.978139,138.557598
230,138,Frances Primary School,23 Barrett Road,Frances,5262,Primary Education,Reception to Year 7,Public,-36.708483,140.956465
